"codsubcuenta","concepto","codcontrapartida","debe","haber","id","idasientopre","orden"
"669.A","Recargo por presentación fuera de plazo","","B","","485","177","0"
"572.A","Banco pago recargo","","","B","486","177","5"
"659.A","Recargo de apremio (no deducible IS)","","B","","487","178","0"
"572.A","Banco pago recargo apremio","","","B","488","178","5"
"631.A","Tasa vado permanente entrada vehículos","","B","","489","179","0"
"572.A","Banco pago tasa vado","","","B","490","179","5"
"631.A","Tasa recogida basuras / residuos urbanos","","B","","491","180","0"
"572.A","Banco pago tasa residuos","","","B","492","180","5"
"631.A","IBI local / nave empresa","","B","","493","181","0"
"572.A","Banco pago IBI","","","B","494","181","5"
"631.A","IVTM impuesto circulación vehículo empresa","","B","","495","182","0"
"572.A","Banco pago IVTM","","","B","496","182","5"
"631.A","Tasa ocupación vía pública","","B","","497","183","0"
"572.A","Banco pago tasa","","","B","498","183","5"
"631.A","Tasa licencia apertura actividad","","B","","499","184","0"
"572.A","Banco pago tasa apertura","","","B","500","184","5"
"631.A","Contribución especial obra municipal","","B","","501","185","0"
"572.A","Banco pago contribución especial","","","B","502","185","5"
"631.A","Tasa recogida residuos selectiva empresa","","B","","503","186","0"
"572.A","Banco pago tasa","","","B","504","186","5"
