"codsubcuenta","concepto","codcontrapartida","debe","haber","id","idasientopre","orden"
"2817.A","Amortización acumulada equipos informáticos","","","B","126","44","5"
"681.A","Amortización elementos de transporte","","B","","127","45","0"
"2818.A","Amortización acumulada elementos de transporte","","","B","128","45","5"
"681.A","Amortización otro inmovilizado material","","B","","129","46","0"
"2819.A","Amortización acumulada otro inmovilizado material","","","B","130","46","5"
"682.A","Amortización inversiones inmobiliarias","","B","","131","47","0"
"282.A","Amortización acumulada inversiones inmobiliarias","","","B","132","47","5"
"680.A","Amortización aplicaciones informáticas","","B","","133","48","0"
"2806.A","Amortización acumulada aplicaciones informáticas","","","B","134","48","5"
"680.A","Amortización propiedad industrial","","B","","135","49","0"
"2803.A","Amortización acumulada propiedad industrial","","","B","136","49","5"
"680.A","Amortización concesiones administrativas","","B","","137","50","0"
"2802.A","Amortización acumulada concesiones administrativas","","","B","138","50","5"
"680.A","Amortización investigación","","B","","139","51","0"
"2800.A","Amortización acumulada investigación","","","B","140","51","5"
"680.A","Amortización desarrollo","","B","","141","51","10"
"2801.A","Amortización acumulada desarrollo","","","B","142","51","15"
"6959.A","Dotación provisión responsabilidades","","B","","143","52","0"
"142.A","Provisión para otras responsabilidades","","","B","144","52","5"
"6959.A","Dotación provisión para impuestos","","B","","145","53","0"
"141.A","Provisión para impuestos","","","B","146","53","5"
"6959.A","Dotación provisión reestructuración","","B","","147","54","0"
"146.A","Provisión para reestructuraciones","","","B","148","54","5"
"142.A","Reversión provisión responsabilidades","","B","","149","55","0"
"7952.A","Exceso provisión para otras responsabilidades","","","B","150","55","5"
"2910.A","Deterioro acumulado inmovilizado material (ver nota)","","B","","151","56","0"
"791.A","Reversión deterioro inmovilizado material","","","B","152","56","5"
"2813.A","Amortización acumulada eliminada","","C","","153","57","0"
"572.A","Cobro por venta inmovilizado","","D","","154","57","5"
"213.A","Baja inmovilizado (valor bruto / coste histórico)","","","B","155","57","10"
"771.A","Beneficio en venta inmovilizado","","","Z","156","57","15"
"2813.A","Amortización acumulada eliminada","","C","","157","58","0"
"671.A","Pérdida en venta inmovilizado","","Z","","158","58","5"
"572.A","Cobro por venta inmovilizado","","D","","159","58","10"
"213.A","Baja inmovilizado (valor bruto / coste histórico)","","","B","160","58","15"
"572.A","Recepción préstamo en banco","","B","","161","59","0"
"170.A","Deuda a largo plazo entidad crédito","","","B","162","59","5"
